,Tag No.,report_date,Miles,Tagged_State,Tagged_Date,Reported_State,Reported_Country,Reported_Date
1439,ABQ071,"01-22-02 Sierra Chincua, MICH, MX",1239.0,FL,10-27-01,MICH,MX,01-22-02
1440,AIO981,"03-12-02 El Rosario, MICH, MX",1233.0,KS,09-15-01,MICH,MX,03-12-02
1441,874MY,"02-20-02 El Rosario, MICH, MX",1233.0,KS,09-28-01,MICH,MX,02-20-02
1442,AJU827,"02-26-02 El Rosario, MICH, MX",1224.0,KS,10-05-01,MICH,MX,02-26-02
1443,AJU826,"02-28-02 El Rosario, MICH, MX",1215.0,KS,10-03-01,MICH,MX,02-28-02
1444,AJW333,"03-11-02 El Rosario, MICH, MX",1215.0,KS,10-05-01,MICH,MX,03-11-02
1445,AJU938,"02-26-02 El Rosario, MICH, MX",1215.0,KS,10-05-01,MICH,MX,02-26-02
1446,AJW004,"02-11-02 El Rosario, MICH, MX",1215.0,KS,10-05-01,MICH,MX,02-11-02
1447,AIU337,"02-27-02 Sierra Chincua, MICH, MX",1212.0,KS,09-21-01,MICH,MX,02-27-02
1448,BR165,"01-06-02 El Rosario, MICH, MX",1211.0,KS,09-25-98,MICH,MX,01-06-02
1449,AHI785,"01-20-02 El Rosario, MICH, MX",1151.0,AR,09-29-01,MICH,MX,01-20-02
1450,AHI784,"03-13-02 El Rosario, MICH, MX",1151.0,AR,09-29-01,MICH,MX,03-13-02
1451,318KC," El Rosario, MICH, MX",1143.0,AR,09-22-99,MICH,MX,
1452,AJN090,"02-28-02 El Rosario, MICH, MX",1143.0,AR,09-27-01,MICH,MX,02-28-02
1453,AEY982,"03-03-02 Cerro Pelon, MICH, MX",1120.0,OK,10-02-01,MICH,MX,03-03-02
1454,AEZ034,"03-03-02 Cerro Pelon, MICH, MX",1120.0,OK,10-02-01,MICH,MX,03-03-02
1455,AEY930,"03-03-02 Cerro Pelon, MICH, MX",1120.0,OK,10-01-01,MICH,MX,03-03-02
1456,AEZ731,"03-03-02 Cerro Pelon, MICH, MX",1120.0,OK,10-02-01,MICH,MX,03-03-02
1457,AHL674,"03-03-02 Cerro Pelon, MICH, MX",1120.0,OK,10-04-01,MICH,MX,03-03-02
1458,AHN027,"03-03-02 Cerro Pelon, MICH, MX",1120.0,OK,09-27-01,MICH,MX,03-03-02
1459,AHL360,"03-03-02 Cerro Pelon, MICH, MX",1110.0,OK,09-29-01,MICH,MX,03-03-02
1460,467TF,"01-06-02 El Rosario, MICH, MX",1105.0,OK,09-23-00,MICH,MX,01-06-02
1461,AEY988,"03-01-02 El Rosario, MICH, MX",1105.0,OK,10-02-01,MICH,MX,03-01-02
1462,AEY802,"02-21-02 El Rosario, MICH, MX",1105.0,OK,10-01-01,MICH,MX,02-21-02
1463,AEY880,"02-16-02 El Rosario, MICH, MX",1105.0,OK,10-01-01,MICH,MX,02-16-02
1464,AEY857,"01-21-02 El Rosario, MICH, MX",1105.0,OK,10-01-01,MICH,MX,01-21-02
1465,AEY849,"01-21-02 El Rosario, MICH, MX",1105.0,OK,10-01-01,MICH,MX,01-21-02
1466,AEY649,"03-12-02 El Rosario, MICH, MX",1105.0,OK,09-27-01,MICH,MX,03-12-02
1467,AEY648,"02-28-02 El Rosario, MICH, MX",1105.0,OK,09-27-01,MICH,MX,02-28-02
1468,AEY644,"02-26-02 El Rosario, MICH, MX",1105.0,OK,09-27-01,MICH,MX,02-26-02
1469,AEY709,"02-26-02 El Rosario, MICH, MX",1105.0,OK,09-27-01,MICH,MX,02-26-02
1470,AEY701,"02-20-02 El Rosario, MICH, MX",1105.0,OK,09-27-01,MICH,MX,02-20-02
1471,AEY711,"02-13-02 El Rosario, MICH, MX",1105.0,OK,09-27-01,MICH,MX,02-13-02
1472,AEY614,"02-18-02 El Rosario, MICH, MX",1105.0,OK,09-26-01,MICH,MX,02-18-02
1473,AEY580,"02-26-02 El Rosario, MICH, MX",1105.0,OK,09-25-01,MICH,MX,02-26-02
1474,AEY491,"02-13-02 El Rosario, MICH, MX",1105.0,OK,09-25-01,MICH,MX,02-13-02
1475,AEZ876,"02-20-02 El Rosario, MICH, MX",1105.0,OK,10-03-01,MICH,MX,02-20-02
1476,AEZ864,"01-21-02 El Rosario, MICH, MX",1105.0,OK,10-03-01,MICH,MX,01-21-02
1477,AEZ830,"01-21-02 El Rosario, MICH, MX",1105.0,OK,10-03-01,MICH,MX,01-21-02
1478,AEZ561,"03-12-02 El Rosario, MICH, MX",1105.0,OK,10-02-01,MICH,MX,03-12-02
1479,AEZ743,"03-04-02 El Rosario, MICH, MX",1105.0,OK,10-02-01,MICH,MX,03-04-02
1480,AEZ752,"02-26-02 El Rosario, MICH, MX",1105.0,OK,10-02-01,MICH,MX,02-26-02
1481,AEZ659,"02-11-02 El Rosario, MICH, MX",1105.0,OK,10-02-01,MICH,MX,02-11-02
1482,AEZ713,"01-24-02 El Rosario, MICH, MX",1105.0,OK,10-02-01,MICH,MX,01-24-02
1483,AEZ421,"02-13-02 El Rosario, MICH, MX",1105.0,OK,10-01-01,MICH,MX,02-13-02
1484,AEZ498,"01-24-02 El Rosario, MICH, MX",1105.0,OK,10-01-01,MICH,MX,01-24-02
1485,AJB700,"03-08-02 El Rosario, MICH, MX",1105.0,OK,09-30-01,MICH,MX,03-08-02
1486,AJB703,"02-21-02 El Rosario, MICH, MX",1105.0,OK,09-30-01,MICH,MX,02-21-02
1487,AHM561,"03-13-02 El Rosario, MICH, MX",1105.0,OK,10-04-01,MICH,MX,03-13-02
1488,AHM331,"03-08-02 El Rosario, MICH, MX",1105.0,OK,09-30-01,MICH,MX,03-08-02
1489,AHM331,"03-08-02 El Rosario, MICH, MX",1105.0,OK,09-30-01,MICH,MX,03-08-02
1490,AHM438,"02-13-02 El Rosario, MICH, MX",1105.0,OK,09-30-01,MICH,MX,02-13-02
1491,AHM215,"01-21-02 El Rosario, MICH, MX",1105.0,OK,09-30-01,MICH,MX,01-21-02
1492,AHN069,"03-04-02 El Rosario, MICH, MX",1105.0,OK,10-02-01,MICH,MX,03-04-02
1493,AHN098,"03-13-02 El Rosario, MICH, MX",1105.0,OK,10-01-01,MICH,MX,03-13-02
1494,AHN073,"03-07-02 El Rosario, MICH, MX",1105.0,OK,10-01-01,MICH,MX,03-07-02
1495,AHM685,"01-28-02 El Rosario, MICH, MX",1105.0,OK,10-01-01,MICH,MX,01-28-02
1496,AHN050,"02-26-02 El Rosario, MICH, MX",1105.0,OK,09-27-01,MICH,MX,02-26-02
1497,AHN026,"02-26-02 El Rosario, MICH, MX",1105.0,OK,09-27-01,MICH,MX,02-26-02
1498,AHN000,"02-20-02 El Rosario, MICH, MX",1105.0,OK,09-27-01,MICH,MX,02-20-02
1499,AHO550,"02-28-02 El Rosario, MICH, MX",1105.0,OK,09-26-01,MICH,MX,02-28-02
1500,AHO511,"02-26-02 El Rosario, MICH, MX",1105.0,OK,09-26-01,MICH,MX,02-26-02
1501,AHM775,"01-24-02 El Rosario, MICH, MX",1105.0,OK,09-26-01,MICH,MX,01-24-02
1502,AHO519,"01-21-02 El Rosario, MICH, MX",1105.0,OK,09-26-01,MICH,MX,01-21-02
1503,AHO567,"01-11-02 El Rosario, MICH, MX",1105.0,OK,09-26-01,MICH,MX,01-11-02
1504,AEW731,"03-03-02 Cerro Pelon, MICH, MX",1105.0,OK,10-03-01,MICH,MX,03-03-02
1505,AEW644,"03-03-02 Cerro Pelon, MICH, MX",1105.0,OK,10-02-01,MICH,MX,03-03-02
1506,AHL481,"03-13-02 El Rosario, MICH, MX",1105.0,OK,09-30-01,MICH,MX,03-13-02
1507,AHL531,"03-01-02 El Rosario, MICH, MX",1105.0,OK,09-30-01,MICH,MX,03-01-02
